Player,Pos,Age,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary
Danny Green,SF,34,62,28,21.8,2,5.2,0.394,1.7,4.4,0.38,0.4,0.8,0.469,0.555,0.2,0.2,0.786,0.5,2,2.5,1,1,0.6,0.7,1.7,5.9,11710528
Danuel House Jr.,SF,28,42,7,17.3,1.9,4.7,0.404,1,2.8,0.376,0.9,1.9,0.444,0.515,1,1.4,0.759,0.4,2.2,2.6,1,0.5,0.4,0.8,1.2,5.9,4105000
DaQuan Jeffries,SG,24,3,0,3,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,0,0,0.7,0.7,0.3,0,0,0,0.3,0.7,NA
DaQuan Jeffries,SG,24,3,0,3,0.3,0.7,0.5,0,0.3,0,0.3,0.3,1,0.5,0,0,0,0,0.7,0.7,0.3,0,0,0,0.3,0.7,NA
Darius Bazley,PF,21,69,53,27.9,4,9.4,0.422,1.2,3.9,0.297,2.8,5.5,0.511,0.484,1.7,2.5,0.688,1,5.3,6.3,1.4,0.8,1,1.3,1,10.8,4264629
Darius Garland,PG,22,68,68,35.7,8,17.3,0.462,2.6,6.7,0.383,5.4,10.6,0.512,0.536,3.2,3.5,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.6,1.7,21.7,8920795
David Nwaba,SF,29,46,4,13.2,1.8,3.8,0.483,0.3,1.1,0.306,1.5,2.8,0.551,0.526,1,1.5,0.716,0.9,2.4,3.3,0.8,0.6,0.4,0.5,1.2,5.1,5022000
Davion Mitchell,PG,23,75,19,27.7,4.7,11.2,0.418,1.3,4.3,0.316,3.3,7,0.48,0.477,0.7,1.1,0.659,0.4,1.8,2.2,4.2,0.7,0.3,1.5,1.9,11.5,4833600
Davon Reed,SG,26,48,5,13.9,1.7,3.4,0.503,0.8,1.8,0.43,0.9,1.6,0.587,0.618,0.2,0.3,0.667,0.3,2,2.3,1.1,0.5,0.2,0.3,1.3,4.4,1902133
Day'Ron Sharpe,PF,20,32,8,12.2,2.7,4.7,0.577,0.1,0.2,0.286,2.6,4.4,0.592,0.584,0.8,1.3,0.585,2.5,2.5,5,0.5,0.3,0.5,0.9,1.9,6.2,2109480
De'Aaron Fox,PG,24,59,59,35.3,8.7,18.5,0.473,1.3,4.2,0.297,7.5,14.3,0.524,0.506,4.4,5.9,0.75,0.4,3.5,3.9,5.6,1.2,0.4,2.8,2.9,23.2,30351780
